round,task,family,quick_delta_pp,quick_cfg,med_delta_pp,med_cfg,reversal_qpos_mnonpos
126,protein_ss_seed13_discovery,protein_ss,-2.496837615920025,scalar_l8_train8e5,,,False
127,hotpot_longctx_seed9_discovery,hotpot,0.0,scalar_l8_train1e4,,,False
127,mbpp_longctx_seed2_repair,mbpp_longctx,4.713804713804713,scalar_l8_train1e4,1.321178821178823,scalar_l8_train1e4,False
128,hotpot_seed17_discovery,hotpot,0.1433251433251445,head_l8,,,False
128,punc_seed6_anchor,other,-0.003931126660901285,scalar_l8_train1e4,,,False
129,arc_mc_seed2_discovery,arc_mc,0.0,scalar_l8_train1e4,,,False
129,protein_contact_seed2_discovery_fix,protein_contact,0.0,scalar_l8_train1e4,,,False
130,hotpot_seed18_discovery,hotpot,0.0,scalar_l8_train1e4,,,False
130,protein_ss_seed14_discovery,protein_ss,-1.0357155615776326,scalar_l8_train1e4,,,False
131,hotpot_longctx_seed10_discovery,hotpot,-4.166666666666667,scalar_l8_train1e4,,,False
131,mbpp_seed9_headprobe,mbpp,0.41125880492396405,scalar_l8_sched_cos,,,False
132,arc_seed9_discovery,other,0.38315441783649956,head_l8,,,False
132,protein_contact_seed3_discovery_fix,protein_contact,0.0,scalar_l8_train1e4,,,False
133,hotpot_seed19_discovery,hotpot,-0.11655011655011677,head_l8,,,False
133,protein_ss_seed15_discovery,protein_ss,-0.40983606557377095,scalar_l8_train1e4,,,False
134,mbpp_seed11_anchor,mbpp,0.8508334300189435,scalar_l8_sched_cos,3.682545522563202,scalar_l8_sched_cos,False
134,punc_seed7_anchor,other,1.1005445905899094,scalar_l8_train1e4,1.1309801328760873,scalar_l8_train1e4,False
135,mbpp_seed10_headprobe,mbpp,0.456633103691928,head_l10_strong,,,False
135,punc_seed8_anchor,other,-0.20703933747412,scalar_l8_train8e5,,,False
136,arc_mc_seed3_discovery,arc_mc,12.5,scalar_l8_sched_cos,12.5,scalar_l8_sched_cos,False
136,hotpot_seed20_discovery,hotpot,0.7843507843507846,scalar_l8_train1e4,,,False
151,mbpp_seed17_headprobe,mbpp,-0.2651955819376661,scalar_l8_train8e5,,,False
151,punc_seed12_anchor,other,-0.5392990094925026,scalar_l8_train8e5,,,False
152,arc_mc_seed10_discovery,arc_mc,0.0,scalar_l8_sched_cos,,,False
152,protein_ss_seed22_discovery,protein_ss,0.6544985575848428,scalar_l8_train8e5,,,False
153,arc_mc_seed11_discovery,arc_mc,4.166666666666669,scalar_l8_train1e4,0.0,scalar_l8_train1e4,True
153,protein_ss_seed23_discovery,protein_ss,0.0,head_l8,,,False
154,hotpot_seed25_discovery,hotpot,6.114156114156114,scalar_l8_train1e4,0.6190689524022865,scalar_l8_train1e4,False
154,mbpp_seed18_headprobe,mbpp,1.0984165509052402,scalar_l8_sched_cos,2.9462087853240004,scalar_l8_sched_cos,False
155,arc_mc_seed12_discovery,arc_mc,8.333333333333337,scalar_l8_train8e5,0.0,scalar_l8_train8e5,True
155,protein_ss_seed24_discovery,protein_ss,5.405404388455237,scalar_l8_train8e5,3.9171869360548617,scalar_l8_train8e5,False
156,mbpp_seed19_anchor,mbpp,2.8944435502292256,scalar_l8_sched_cos,0.6007938374765487,scalar_l8_sched_cos,False
156,punc_seed13_anchor,other,-0.06920724220302182,scalar_l8_train1e4,,,False
157,arc_mc_seed13_discovery,arc_mc,20.833333333333332,scalar_l8_train8e5,20.833333333333332,scalar_l8_train8e5,False
